                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    111,                 1.5182,                 1.4143,                 1.6073,                0.51538,                0.47778,                0.43537,                0.20803,                 2.2273,                 2.2076,                 2.1712,              0.0014871,              0.0014871,              0.0014871
                    112,                 1.5321,                 1.3406,                 1.5975,                0.42835,                0.42222,                 0.3681,                0.17279,                 2.2193,                 2.5766,                 2.3117,              0.0014855,              0.0014855,              0.0014855
                    113,                 1.5605,                 1.4173,                 1.6353,                0.37772,                0.45556,                0.33321,                0.14916,                 2.2224,                 2.5233,                 2.1742,              0.0014838,              0.0014838,              0.0014838
                    114,                 1.4402,                 1.3146,                   1.55,                0.25449,                0.45556,                0.30137,                0.13884,                 2.1245,                 2.2142,                 2.0245,              0.0014822,              0.0014822,              0.0014822
                    115,                 1.4877,                 1.3331,                 1.5764,                0.31995,                0.56667,                0.35736,                0.17335,                 2.0857,                 2.3198,                 1.8644,              0.0014805,              0.0014805,              0.0014805
                    116,                 1.5326,                 1.3424,                 1.5941,                0.76518,                    0.4,                0.44394,                0.22912,                  2.062,                 2.3632,                 1.9174,              0.0014789,              0.0014789,              0.0014789
                    117,                 1.5621,                 1.3599,                 1.6266,                 0.4493,                0.53573,                0.46617,                0.23355,                 2.1408,                 2.3167,                 1.9693,              0.0014772,              0.0014772,              0.0014772
                    118,                 1.5525,                 1.3775,                  1.659,                0.77191,                0.44444,                0.54412,                0.21446,                 2.2995,                 2.1784,                 2.0871,              0.0014756,              0.0014756,              0.0014756
                    119,                 1.5018,                 1.2911,                 1.6069,                0.51594,                0.58889,                0.48097,                0.18193,                 2.3399,                 2.3546,                 2.1254,              0.0014739,              0.0014739,              0.0014739
                    120,                  1.525,                 1.3151,                 1.6182,                0.51822,                0.56994,                 0.5405,                0.19249,                 2.3368,                 2.1072,                 2.0647,              0.0014723,              0.0014723,              0.0014723
                    121,                 1.5146,                 1.3851,                 1.5926,                0.44247,                0.45538,                0.37329,                0.17695,                 2.1871,                 2.0452,                 1.9574,              0.0014706,              0.0014706,              0.0014706
                    122,                 1.5585,                 1.3947,                 1.6466,                0.40623,                0.51111,                0.37726,                 0.1468,                 2.4915,                 2.1523,                  2.231,               0.001469,               0.001469,               0.001469
                    123,                 1.5144,                 1.4072,                 1.6218,                0.38027,                0.38889,                0.32133,                0.14296,                 2.3475,                 2.5201,                 2.1605,              0.0014673,              0.0014673,              0.0014673
                    124,                 1.5491,                 1.3331,                 1.6397,                0.41197,                0.44103,                0.38044,                0.16426,                 2.2983,                 2.4042,                 2.1138,              0.0014657,              0.0014657,              0.0014657
                    125,                 1.4563,                 1.3031,                 1.5518,                 0.4503,                0.53333,                0.40826,                0.15569,                 2.5862,                 2.4106,                 2.4898,               0.001464,               0.001464,               0.001464
                    126,                 1.5064,                 1.3659,                 1.6047,                0.51327,                0.56667,                0.48231,                 0.2121,                 2.3241,                 2.1444,                 2.1307,              0.0014624,              0.0014624,              0.0014624
                    127,                 1.4718,                   1.28,                 1.5645,                0.46266,                0.56667,                  0.424,                0.18402,                 2.3712,                 2.2284,                 2.0724,              0.0014607,              0.0014607,              0.0014607
                    128,                 1.4961,                 1.3063,                 1.5876,                0.45557,                0.57429,                0.40549,                0.21327,                 2.0528,                 2.2129,                 1.8822,              0.0014591,              0.0014591,              0.0014591
                    129,                  1.476,                  1.305,                 1.5894,                0.44238,                0.51644,                0.44518,                0.23451,                 1.9242,                 2.2168,                 1.8907,              0.0014574,              0.0014574,              0.0014574
                    130,                 1.4218,                 1.2148,                 1.5295,                0.61858,                0.53333,                0.54295,                0.23153,                 2.2166,                 1.8063,                   2.07,              0.0014558,              0.0014558,              0.0014558
                    131,                 1.4298,                 1.2459,                 1.5192,                0.56272,                0.46667,                0.44798,                0.18209,                 2.4047,                 1.9729,                 2.1694,              0.0014541,              0.0014541,              0.0014541
                    132,                 1.4861,                  1.288,                 1.5709,                0.42825,                    0.5,                0.38783,                0.18266,                 2.2607,                 2.0061,                 2.1915,              0.0014525,              0.0014525,              0.0014525
                    133,                 1.4251,                 1.1824,                 1.5388,                0.57222,                0.51111,                0.45917,                0.22074,                 2.1886,                 1.8521,                 2.1838,              0.0014508,              0.0014508,              0.0014508
